Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки
2019-01-01;170.0;281.0;;37.0;237.0;;;244.0;162.0
2019-01-02;178.0;269.0;;;270.0;;211.0;248.0;182.0
2019-01-03;179.0;277.0;;353.0;273.0;;229.0;246.0;185.0
2019-01-04;171.0;263.0;;35.0;243.0;;170.0;233.0;186.0
2019-01-05;178.0;268.0;;39.0;268.0;;224.0;233.0;223.0
2019-01-06;229.0;268.0;;300.0;277.0;;229.0;248.0;217.0
2019-01-07;227.0;229.0;;284.0;250.0;;224.0;235.0;228.0
2019-01-08;241.0;265.0;;326.0;275.0;;222.0;262.0;224.0
2019-01-09;198.0;256.0;;301.0;252.0;;207.0;235.0;219.0
2019-01-10;252.0;253.0;;324.0;285.0;;218.0;286.0;235.0
2019-01-11;274.0;257.0;;26.0;307.0;;214.0;292.0;264.0
2019-01-12;237.0;251.0;;;284.0;;211.0;262.0;273.0
2019-01-13;252.0;271.0;;;289.0;;199.0;272.0;266.0
2019-01-14;163.0;345.0;;;250.0;;222.0;235.0;196.0
2019-01-15;165.0;38.0;;345.0;246.0;;223.0;237.0;143.0
2019-01-16;244.0;268.0;;313.0;262.0;;227.0;251.0;226.0
2019-01-17;224.0;262.0;;323.0;283.0;;228.0;265.0;229.0
2019-01-18;203.0;281.0;;335.0;272.0;;229.0;234.0;230.0
2019-01-19;232.0;243.0;;286.0;255.0;;229.0;239.0;223.0
2019-01-20;238.0;265.0;;307.0;272.0;;228.0;250.0;223.0
2019-01-21;224.0;264.0;;306.0;276.0;;228.0;245.0;216.0
2019-01-22;246.0;266.0;;313.0;273.0;;227.0;253.0;235.0
2019-01-23;215.0;264.0;;348.0;277.0;;200.0;257.0;225.0
2019-01-24;187.0;125.0;;42.0;288.0;;132.0;237.0;139.0
2019-01-25;151.0;203.0;;;207.0;;224.0;235.0;179.0
2019-01-26;232.0;260.0;;343.0;267.0;;226.0;265.0;224.0
2019-01-27;243.0;254.0;;323.0;282.0;;219.0;275.0;242.0
2019-01-28;264.0;255.0;;323.0;286.0;;219.0;294.0;240.0
2019-01-29;237.0;260.0;;300.0;277.0;;229.0;255.0;221.0
2019-01-30;238.0;259.0;;307.0;279.0;;225.0;276.0;222.0
2019-01-31;297.0;248.0;;14.0;326.0;;202.0;351.0;284.0
2019-02-01;320.0;250.0;;25.0;349.0;;212.0;357.0;284.0
2019-02-02;233.0;260.0;;320.0;281.0;;231.0;261.0;233.0
2019-02-03;61.0;263.0;;49.0;12.0;;53.0;32.0;69.0
2019-02-04;181.0;259.0;;36.0;345.0;;199.0;337.0;248.0
2019-02-05;127.0;248.0;;48.0;64.0;;65.0;113.0;83.0
2019-02-06;148.0;242.0;;39.0;103.0;;61.0;142.0;72.0
2019-02-07;174.0;238.0;;40.0;0.0;;69.0;176.0;84.0
2019-02-08;175.0;256.0;;42.0;264.0;;60.0;229.0;156.0
2019-02-09;152.0;256.0;;42.0;178.0;;62.0;178.0;111.0
2019-02-10;113.0;256.0;;52.0;102.0;;64.0;160.0;91.0
2019-02-11;118.0;256.0;;42.0;89.0;;62.0;171.0;44.0
2019-02-12;145.0;251.0;;56.0;222.0;;95.0;248.0;319.0
2019-02-13;188.0;278.0;;102.0;265.0;;219.0;251.0;223.0
2019-02-14;180.0;268.0;;39.0;256.0;;220.0;250.0;222.0
2019-02-15;178.0;279.0;;36.0;252.0;;224.0;248.0;170.0
2019-02-16;205.0;249.0;;277.0;249.0;;207.0;244.0;221.0
2019-02-17;233.0;258.0;;311.0;262.0;;220.0;256.0;221.0
2019-02-18;186.0;220.0;;275.0;250.0;;209.0;245.0;211.0
2019-02-19;227.0;256.0;;318.0;268.0;;222.0;265.0;217.0
2019-02-20;218.0;250.0;;289.0;251.0;212.0;210.0;245.0;216.0
2019-02-21;235.0;278.0;311.0;340.0;264.0;89.0;203.0;255.0;229.0
2019-02-22;248.0;256.0;316.0;314.0;276.0;231.0;224.0;286.0;229.0
2019-02-23;243.0;259.0;331.0;303.0;272.0;232.0;228.0;267.0;222.0
2019-02-24;205.0;254.0;4.0;302.0;264.0;215.0;219.0;251.0;217.0
2019-02-25;248.0;258.0;318.0;341.0;285.0;271.0;211.0;289.0;245.0
